sense	Danish	Dutch	Elfdalian	English	Frisian	German	Hindi	Spanish	Swedish
LEG	b̥eˀn	ben		lɛg	fu.ət	baĭn	ʈɑ̃g	'pjeɾna	beːn
LIE	ˈleg̥ə	'lɪɣə(n)	lɪ̀gːɑ	laɪ	'lɪzə	'li:gn̩	leʈnɑ		ˈlɪ̀gːa
LIVE	boˀ	ˈwonə	lɪ̀vɔ	lɪv	'le:və	'le:bn̩	ʤinɑ	bi'βiɾ	ˈlè:va
LIVER	ˈlewʌ	'levər	lyːr	'lɪvə	'le:vər	'le:bɐ	kəleʤɑ	'iɣaðo	ˈle:vər
LONG	lɑŋˀ	lɑŋ	lɑʉŋg	lɒŋ	laŋ	laŋ	ləmbɑ	'laɾɣo	lɔŋ
LOUSE	luˀs	lœys	lɑʉs	laʊs	lu:s	laŭs	dʒũ	'pjoχo	lʉ:s
MAN	manˀ	mɑn	kɑlː	mæn	mɔn	man	pʊɾʊʃ	'ombɾe	kɑ:r
MEAT	ɡ̊ʰøð	vles		mi:t	flais	flaĭʃ	mɑ̃s	'kaɾne	ɕœtː
MOON	ˈmɔːnə	man	tʉ́ŋgɛl		'mwanə		ʧɑ̃d̪	'luna	ˈmòːnə
MOTHER	moɐ̯	'mudər	ˈmʉ̢̀ːnɑ	'mʌðə	mɛm	'mʊtɐ	mɑt̪ɑ	'maðɾe	muːr
MOUNTAIN	fjɛlˀ	bɛrχ	bjærː	'maʊntɪn	bɛrx	bɛrk	pəɦɑɽ	mon'taɲa	fjɛlː
MOUTH	mɔnˀ	mɔnt	mʉnː	maʊθ	'mulə	mʊnt	mʊ̃ɦ	'boka	mɵnː
NAIL	nɑjˀl	'naɣəl	ˈnɑ̀gɛl	neɪl	nail	'na:gl̩	nɑkʰun	'uɲa	ˈnɑːɡəl
NAME	nɑwˀn	nam	ˈnɑ́mːɛn	neɪm	'namə	'na:mə	nɑm	'nombɾe	namn
NARROW	smalˀ	nɑu	trɑʉŋg	'nærəʊ	smɛl	ɛŋ	t̪ə̃g		smɑ:l
NAVEL					nɔ:lə		nɑbʱi	ombliɣo	
NEAR	nɛˀɐ̯	na'bɛi	nɛ̃ːr	nɪə	'njoŋkən	'na:ə	pɑs		ˈnæ̀:ra
NECK	ˈnɑɡ̊e	nɛk		nɛk	hɔls	'nakn̩	gərd̪ən	'kwejo	hals
NEW	nyˀ	niw	nyː	nju:	nɛi	nɔ‿y	n̪əjɑ	'nweβo	nyː
NIGHT	nad̥ʰ	nɑχt	nõːt	naɪt	naxt	naxt	rɑt̪	'noʧe	natː
NOSE	ˈnɛ:sə	nøs	nɛːv	nəʊz	no.əs	'na:zə	nɑk	na'ɾiθ	ˈnɛ̀ːsa
NOT	eg̥ə, eg̥	nit	ɪ̀ntɛ	nɒt	nɛt	nɪçt	nəɦĩ	no	ˈɪ̀ntə
OLD	ˈg̥ɑməl	ɑut	ˈgɔ̀mɔl	əʊld	ɔːt	alt	buɽʱɑ	'bjeχo	ˈgàmːal
ONE	eˀn	en	ɪɛnː	wʌn	i.ən	aĭn	ek	'uno	ɛnː
PERSON		ˈpɛrson	mɛ̀nɪstʃ	'pɜ:sən	mẽːskə	mɛnʃ	ɪnsɑn	'ombɾe	pæˈʂu:n
PLAY	ˈlɑjə	'spelə(n)	læ̀ːkɑ	pleɪ	'buatsjə	'ʃpi:lən	kʰelnɑ	χu'ɣaɾ	ˈlè:ka
PULL	ˈd̥ʁɑːwə	'trɛkə(n)	drɔ̀gɔ	pʊl	'trɛkə	't͜si:ən	kʰĩʧnɑ	xa'laɾ	drɑ:
PUSH	ˈsɡ̊yːðə	'dywə(n)	ˈrɛ̀kɔ	pʊʃ	'trjo.uwə		ɖʱəkelnɑ	empu'χaɾ	
RAIN	ʁɑjˀn	'reɣə	rɑ́jŋɛn	reɪn	rain		ʋəɾʃɑ	'ʎuβja	rɛŋn
RED	ʁøðˀ	rot	roːð	rɛd	rɪ.ə(t)	ro:t	lɑl	'roχo	røːd
RIGHT	ˈhʌjʁʌ	rɛχts, 'rɛχtər	ýːœgɛr	raɪt	'rjoxtər	rɛçt	d̪ɑyɑ̃	de'ɾeʧo	ˈhø:gər
RIVER	ɛlˀv	ri'vir	œ̀ːvɛ	'rɪvə	rə'vi.ər		nədi	'rio	oː
ROOT	ʁoˀð	ˈwɔrtəl	rʉːət	ru:t	ˈwatəl	'vʊt͜sl̩	mul	raˈiθ	ru:t
ROTTEN	ˈʁʌðən	vər'sletə(n)	ˈfʉə̀skʉn	'rɒtən	rɔt	faŭl	səɽɑ-gəlɑ	po'ðɾiðo	ˈmɵ̀rkən
ROUND	ʁɔnˀ	rɔnt		raʊnd	run	rʊnt	ɡol	re'ðon̪do	rɵnd
RUN					dra:və		d̪ɔɽnɑ	ko'reɾ	
SALT	salˀd̥ʰ	zɑut	solt	sɔ:lt	sɔ:t	zalt͜s	nəmək	sal	salt
SAND	sanˀ	zɑnt	sɑnd	sænd	sɔ:n	zant	bɑlu	a'ɾena	sand
